Province,SC11,SC12,SC13,SC14,SC21,SC22,SC23,SC24,SC31,SC32,SC33,SC41,SC42,SC43,SC44,SC51,SC52,SC53,SC54,SC61,SC62,SC63,SC64,SC71,SC72,SC73,SC81,SC82,SC83
P30,1.170584321,1.634582758,1.515040517,0.966660619,2.310331821,1.945882678,1.764101505,,2.022303343,2.094124079,2.288942575,1.853354692,2.062562466,0.957695603,1.816641927,1.6756953,1.66574204,1.467606068,1.929652095,2.023974419,1.654772758,1.710894227,1.634877563,,,,,,
P31,0.933272719,1.54388392,1.553818107,0.848243356,2.314767599,1.623158216,1.457698703,,1.873009086,1.749990106,1.959274173,1.491062522,1.824593663,0.921406567,1.783200622,1.33337009,1.944164753,1.52280128,1.911747932,1.935032487,1.374018431,2.36432004,1.682857037,,,,,,
P32,1.134386897,1.498621345,1.697103024,0.738264024,1.757739067,2.027198076,1.691766739,,2.291252851,1.944686294,1.619007349,1.267130613,1.700285912,0.903455496,1.711961508,1.791640759,1.799566746,1.676058173,1.907885313,1.820702791,1.720521808,2.359294653,1.629753709,,,,,,
P33,1.298324823,1.811770916,1.739851594,1.014850616,2.308147669,1.600202084,1.636119246,,1.985723853,1.682566285,1.85126698,1.669353247,1.993028283,0.987704694,1.863131762,1.536387205,1.545124888,1.382466793,1.954579592,2.074853897,1.370213509,1.575913787,1.644200802,,,,,,
P34,0.773887873,1.280552745,1.316900134,0.70866245,1.665241361,1.343894243,1.595428824,,1.963479877,1.805298328,1.622856498,1.228521228,1.625224829,0.873139501,1.651104093,1.364779234,1.374477744,1.394956231,1.760893106,1.724831581,1.386251688,1.685334563,1.61527431,,,,,,
P35,1.029831052,1.43116343,1.440092802,0.898121715,2.224445105,1.543083072,1.87812376,,1.74278307,2.111084461,2.087306023,1.446849823,1.901103377,0.986074865,1.777450919,1.469055295,1.901355624,1.434271693,1.888835788,1.836555004,1.594940305,1.790637493,1.679672241,,,,,,
P36,0.932928503,1.472100258,1.330017328,0.902634799,1.978409767,1.535543919,1.700541019,,1.781972051,1.798174262,1.740068555,1.234891653,1.574971557,0.840209067,1.631036043,1.49000442,1.76209414,1.106122732,1.925320268,1.868603587,1.764498711,1.772122264,1.643854737,,,,,,
P37,0.979975998,1.563185215,1.362460494,0.56428659,1.523663282,1.577748418,1.593751669,,1.852426648,1.577667713,1.769985437,1.390500784,1.63815248,0.872637868,1.645281672,1.403550744,1.665951371,1.572977424,1.898442745,1.870627165,1.613432407,1.937310934,1.520714402,,,,,,
P38,0.808405757,1.491795063,1.385798812,0.744585693,1.754938245,1.24352181,1.496114016,,1.692788482,1.732491612,1.745461464,1.512792706,1.801825523,1.061078429,1.612235785,1.338727355,1.564886212,1.748579383,1.764481544,1.992292166,1.594222665,2.083183289,1.702226639,,,,,,
P39,0.845297635,1.547984838,1.474861383,0.863435388,1.786260247,1.402948618,1.517392039,,2.024383307,1.613686204,1.931200504,1.307681322,1.745622396,0.963890314,1.567423105,1.764027238,1.757007837,1.527176857,1.892831206,1.701096535,1.65554142,2.234292507,1.541315794,,,,,,
P40,0.84215796,1.387169719,1.408176064,0.743062615,1.780617952,1.622478724,1.520316005,,2.043968201,1.753886104,1.953531861,1.304374695,1.517754674,0.710846603,1.573970675,1.438070893,1.626228094,1.482424855,1.82256186,1.815054655,1.756522059,1.667183518,1.536881804,,,,,,
P41,1.08357656,1.427104831,1.418926239,0.909406126,2.010377884,1.659049749,1.662432432,,1.854056954,1.756470323,1.869690776,1.387599587,1.767401576,0.740139902,1.571420908,1.489231348,1.817362428,1.715722322,1.879189372,1.594530106,1.589296579,1.753295183,1.577240944,,,,,,
P42,0.862094879,1.514962077,1.490919828,0.732346356,1.89159739,1.60984838,1.776899934,,1.976035118,1.763733983,1.695334315,1.231161118,1.587535858,0.577049494,1.67359817,1.66684854,1.804886222,1.686710954,1.863064647,1.901441813,1.871956825,1.691165328,1.666264653,,,,,,
P43,1.067909241,1.514301062,1.62483108,0.634117007,1.760336041,1.498556852,1.660840631,,1.658097982,1.505781651,1.849259257,1.366485715,1.771438718,0.9384045,1.864092946,1.451472402,1.755763412,1.384608269,1.784443855,1.718332648,1.161729336,1.858209133,1.580407619,,,,,,
P44,0.946234465,1.534574866,1.430375218,0.764484704,1.781000376,1.575860739,1.562837362,,2.017518282,1.605173945,1.946292043,1.220332384,1.574793816,0.807929158,1.612859011,1.510495543,1.907824755,1.515756607,1.825147271,1.884414554,1.581172705,1.990123034,1.61764431,,,,,,
P45,0.985517621,1.459241509,1.523992896,0.793024123,2.277651072,1.812738061,1.556515336,,2.082962036,1.811859369,1.803996325,1.360059857,1.742707729,0.767744303,1.801681161,1.87678957,1.811139226,1.652430534,1.94404757,1.561647534,1.208341718,1.918943763,1.634949684,,,,,,
P46,0.932014048,1.688781857,1.478576183,0.73946923,1.584137082,1.278390884,1.87579608,,1.961336255,1.796576977,1.848676324,1.566713214,1.893416405,1.3672961,1.745347857,1.635623813,1.758961082,1.581135154,1.826742768,1.816641808,1.633650303,2.006269693,1.722009897,,,,,,
P47,0.817782521,1.250453472,1.442180514,0.720304072,2.436456919,1.654335022,1.296081662,,1.523973584,1.601440191,1.671748757,0.984911382,1.552344561,0.757263064,1.574563026,1.709484696,1.695876241,1.39108932,1.919430494,1.434832811,1.591184497,2.220785141,1.618364692,,,,,,
P48,0.92056483,1.484176636,1.329735398,1.042865872,2.0189538,1.555392265,1.509790659,,1.801268101,1.89566946,1.907346606,1.350259185,1.75776732,0.997286677,1.793945313,1.703184962,1.737841487,1.425211906,1.900876641,1.806404948,1.82372427,2.214201212,1.658374786,,,,,,
