,Year,Province,Criterion,ER_Utility,Belief_Entropy
332,2018,P42,C05,0.4749,0.8189
333,2018,P42,C06,0.4295,1.0529
334,2018,P42,C07,0.3004,0.9757
335,2018,P42,C08,0.4411,1.0221
336,2018,P43,C01,0.5983,1.0077
337,2018,P43,C02,0.6340,0.8035
338,2018,P43,C03,0.6731,0.7785
339,2018,P43,C04,0.4958,0.7555
340,2018,P43,C05,0.4373,1.0310
341,2018,P43,C06,0.2636,1.0533
342,2018,P43,C07,0.3523,0.9788
343,2018,P43,C08,0.5345,0.9019
344,2018,P44,C01,0.6982,0.9654
345,2018,P44,C02,0.4717,0.8504
346,2018,P44,C03,0.5702,1.0415
347,2018,P44,C04,0.3677,0.9752
348,2018,P44,C05,0.1674,0.3913
349,2018,P44,C06,0.3909,1.0908
350,2018,P44,C07,0.2503,1.0108
351,2018,P44,C08,0.4680,0.8825
352,2018,P45,C01,0.6667,0.7549
353,2018,P45,C02,0.5519,0.9991
354,2018,P45,C03,0.6379,0.9407
355,2018,P45,C04,0.3849,1.0130
356,2018,P45,C05,0.5214,0.7801
357,2018,P45,C06,0.3595,0.8922
358,2018,P45,C07,0.2972,0.9919
359,2018,P45,C08,0.4932,0.9146
360,2018,P46,C01,0.3531,0.7134
361,2018,P46,C02,0.2795,1.0403
362,2018,P46,C03,0.4167,1.0674
363,2018,P46,C04,0.6832,0.8307
364,2018,P46,C05,0.6120,0.9507
365,2018,P46,C06,0.5050,0.7272
366,2018,P46,C07,0.4445,1.1751
367,2018,P46,C08,0.3115,0.8905
368,2018,P47,C01,0.5100,0.6512
369,2018,P47,C02,0.4540,0.9730
370,2018,P47,C03,0.4851,0.8373
371,2018,P47,C04,0.5569,1.0165
372,2018,P47,C05,0.5102,0.7016
373,2018,P47,C06,0.3160,0.9238
374,2018,P47,C07,0.3270,0.8852
375,2018,P47,C08,0.4816,0.8652
376,2018,P48,C01,0.5107,0.6860
377,2018,P48,C02,0.3482,0.6961
378,2018,P48,C03,0.5171,0.8404
379,2018,P48,C04,0.3676,1.0175
380,2018,P48,C05,0.4697,0.8679
381,2018,P48,C06,0.3068,1.0882
382,2018,P48,C07,0.3365,0.9453
383,2018,P48,C08,0.4522,0.9819
384,2018,P49,C01,0.4618,0.9295
385,2018,P49,C02,0.6266,0.9020
386,2018,P49,C03,0.6268,0.9329
387,2018,P49,C04,0.3503,0.9931
388,2018,P49,C05,0.4903,0.6178
389,2018,P49,C06,0.6225,0.9345
390,2018,P49,C07,0.3246,0.9449
391,2018,P49,C08,0.4155,1.0378
392,2018,P50,C01,0.3364,0.6364
393,2018,P50,C02,0.4458,1.0076
394,2018,P50,C03,0.3383,0.7131
395,2018,P50,C04,0.3100,0.9276
396,2018,P50,C05,0.3279,0.6485
397,2018,P50,C06,0.3491,0.8383
398,2018,P50,C07,0.1986,0.7305
399,2018,P50,C08,0.5949,1.0946
400,2018,P51,C01,0.4623,0.9244
401,2018,P51,C02,0.3704,0.8375
402,2018,P51,C03,0.3590,0.8079
403,2018,P51,C04,0.5935,1.0214
404,2018,P51,C05,0.3242,0.7143
405,2018,P51,C06,0.5424,0.9543
406,2018,P51,C07,0.4099,1.0257
407,2018,P51,C08,0.3606,0.7552
408,2018,P52,C01,0.3752,0.8737
409,2018,P52,C02,0.2963,0.9951
410,2018,P52,C03,0.1704,0.4423
411,2018,P52,C04,0.6274,0.8538
412,2018,P52,C05,0.3904,0.9618
413,2018,P52,C06,0.3177,0.8255
414,2018,P52,C07,0.4676,1.1188
415,2018,P52,C08,0.2542,1.0214
416,2018,P53,C01,0.4945,0.7927
417,2018,P53,C02,0.5063,1.0091
418,2018,P53,C03,0.6232,1.0734
419,2018,P53,C04,0.8326,0.3913
420,2018,P53,C05,0.7027,0.9901
421,2018,P53,C06,0.5953,1.0156
422,2018,P53,C07,0.5777,1.1273
423,2018,P53,C08,0.3712,0.9244
424,2018,P54,C01,0.2384,0.9685
425,2018,P54,C02,0.2908,1.0168
426,2018,P54,C03,0.3997,1.0587
427,2018,P54,C04,0.5784,1.0434
428,2018,P54,C05,0.7155,1.0326
429,2018,P54,C06,0.5140,0.8028
430,2018,P54,C07,0.4624,1.1774
431,2018,P54,C08,0.3829,0.9232
432,2018,P55,C01,0.2235,0.8981
433,2018,P55,C02,0.3986,0.9972
434,2018,P55,C03,0.3550,0.7440
435,2018,P55,C04,0.6281,0.8499
436,2018,P55,C05,0.5685,1.0400
437,2018,P55,C06,0.6604,0.5976
438,2018,P55,C07,0.6456,0.9765
439,2018,P55,C08,0.3856,0.9379
440,2018,P56,C01,0.5490,0.9874
441,2018,P56,C02,0.5000,0.3913
442,2018,P56,C03,0.4972,1.1265
443,2018,P56,C04,0.5000,0.3913
444,2018,P56,C05,0.5925,1.0242
445,2018,P56,C06,0.6512,0.7010
446,2018,P56,C07,0.8326,0.3913
447,2018,P56,C08,0.4282,1.0428
448,2018,P57,C01,0.2614,1.0335
449,2018,P57,C02,0.4005,1.0027
450,2018,P57,C03,0.3840,1.0488
451,2018,P57,C04,0.5962,1.0139
452,2018,P57,C05,0.4380,1.0295
453,2018,P57,C06,0.6918,1.0372
454,2018,P57,C07,0.6393,1.0607
455,2018,P57,C08,0.3423,0.5576
456,2018,P58,C01,0.2958,0.9981
457,2018,P58,C02,0.3555,0.7052
458,2018,P58,C03,0.3414,0.7935
459,2018,P58,C04,0.3538,1.2302
460,2018,P58,C05,0.6317,0.8222
461,2018,P58,C06,0.4779,0.7868
462,2018,P58,C07,0.4731,1.1998
463,2018,P58,C08,0.3511,0.6977
464,2018,P59,C01,0.4263,1.0432
465,2018,P59,C02,0.5778,1.0431
466,2018,P59,C03,0.3936,0.9758
467,2018,P59,C04,0.5933,1.0215
468,2018,P59,C05,0.6401,0.7952
469,2018,P59,C06,0.7098,1.0185
470,2018,P59,C07,0.6650,0.8952
471,2018,P59,C08,0.3885,0.9532
472,2018,P60,C01,0.2270,0.9163
473,2018,P60,C02,0.1674,0.3913
474,2018,P60,C03,0.4290,1.0423
475,2018,P60,C04,0.3415,0.9520
476,2018,P60,C05,0.4303,1.0408
477,2018,P60,C06,0.4929,0.6763
478,2018,P60,C07,0.6294,1.0242
479,2018,P60,C08,0.2037,0.7710
480,2018,P61,C01,0.3576,0.8245
481,2018,P61,C02,0.4017,1.0077
