Province,TOPSIS,VIKOR,PROMETHEE,COPRAS,EDAS,SAW,IFS_TOPSIS,IFS_VIKOR,IFS_PROMETHEE,IFS_COPRAS,IFS_EDAS,IFS_SAW
P46,0.6357105639324344,0.6691125309082409,0.6524466322689193,0.6518666862145779,0.6212470861059537,0.6548917284831485,0.424166328199532,0.7010784318319068,0.6787036063023992,0.6834513831935898,0.6302607865091013,0.6923791666146837
P47,0.4479246630340329,0.47040544865402123,0.43595922340037535,0.4812023922934576,0.4507078867746229,0.49081089730804256,0.3211265185090205,0.4958014198433681,0.4086981992339146,0.4945923988512216,0.4333327479116916,0.5190383398256493
P48,0.5416849216263835,0.5639367295092178,0.5129455764266821,0.5505609874978845,0.5160180814822821,0.5445401256851023,0.3142547268502232,0.6004024891784276,0.5309908294825924,0.5943131753025666,0.5487185781863031,0.5844300787777517
P49,0.2298396393461563,0.26031293401793665,0.16276830088795702,0.24217532812973444,0.22406147961801215,0.24542515678428953,0.13243151553455537,0.26675861423775205,0.14019505398484666,0.25806169820622016,0.21035648165914306,0.2680423055153319
P50,0.07300994923373182,0.15835285537507693,0.03763875193919256,0.09382906105851789,0.08681098282925814,0.08337237741682067,0.01738693546689766,0.17777018752178564,0.027092574546771553,0.11827197488461984,0.11175942966603764,0.09495520525124818
P51,0.347955826825934,0.37653080013308515,0.2843980097291158,0.3583597114130302,0.3315556865135048,0.35712879412076043,0.1875957036330928,0.406570368105714,0.25824234767169446,0.39364735733369965,0.3415880565245364,0.38986832709368874
P52,0.24716860258961165,0.30705557166115494,0.17683066707524703,0.2614407333095593,0.2418859013845418,0.2584223688081753,0.11409449734721348,0.32648091533038326,0.1394223145725009,0.2838799454049181,0.2477760022989599,0.2753306086428695
P53,0.5009347888885839,0.5295665581670096,0.48013141227509565,0.5229109206013501,0.48546962935627325,0.5257997830006856,0.31161580329536565,0.5685152841126984,0.4853160472376138,0.5575598089008595,0.49377253516641956,0.5653126130517365
P54,0.5074035763273118,0.5062413506312291,0.5292200715038421,0.5469712748778194,0.5198468225665845,0.5628911862753476,0.5104644755967502,0.516394845044266,0.5253437645926895,0.5548233402606658,0.47824240203542445,0.5924177297741323
P55,0.1811952802770726,0.21843025009204642,0.12467400278632976,0.20600577875148393,0.19059728318894353,0.20352716685075964,0.08484759835294813,0.24912344109498386,0.09724254056074688,0.23243186034525976,0.21031864565922181,0.22416023071759766
P56,0.40331319739517785,0.4352576467969791,0.3537763859129512,0.42255054131806485,0.3909452718916046,0.42051529359395806,0.2089808581653349,0.46001502940720873,0.316432363574635,0.44177451626436953,0.3950026824662107,0.4385326356552984
P57,0.16326668570658753,0.19997645113900564,0.11530333922301768,0.16641427716710488,0.1539670843416744,0.14995290227801128,0.06661016882670301,0.22640022439830865,0.10387856820226052,0.20760942411491884,0.20761956748111393,0.16697946024933172
P58,0.04526325356949131,0.08133571920879579,0.01892586707669474,0.0350405062239177,0.032419601665159004,0.015559525114369756,0.00292822516302861,0.08371116339661988,0.010064685568548943,0.06798759272545928,0.07829511496363306,0.021924588943175533
P59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
P60,0.04617518212145556,0.10252314562401443,0.02563509109812847,0.04334709152418038,0.04010488408977092,0.025093136753255536,0.0025613888911420767,0.10648715114721896,0.015936445979130926,0.07630842755474947,0.08770251475364155,0.03294586514071256
P61,0.06581673772288746,0.08514740426440515,0.031372442368784496,0.055239623256107526,0.05110789697650192,0.05607022380232813,0.03080073259043046,0.08993780622085423,0.022612988414319177,0.0667246105286062,0.042279670397398605,0.06731416663640799
P62,0.08217986488287096,0.09728340115161593,0.056854649621389045,0.06483517073199682,0.05998573181540362,0.04456680230323231,0.016743263893161803,0.10064922542028976,0.03761560681258634,0.08625907305655861,0.10561012701716133,0.03632149437516329
P63,0.3873424314165444,0.43970472927702375,0.32977631075654545,0.401335869828663,0.37131738196477027,0.39607612522071406,0.20157339400843982,0.4712901360756028,0.30219293876113673,0.43520788315710035,0.3890551435478805,0.42702390898485365
